,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
171,"Man in the Mirror","A Boogie Wit da Hoodie",31588,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
172,"Don't Start Now","Dua Lipa",31578,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
173,"Gangsta's Paradise",Coolio,31486,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
174,"Still Don't Know My Name",Labrinth,31397,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
175,"Mr. Rager","Kid Cudi",31376,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
176,"CTRL + ALT + DEL",Rêve,31335,https://open.spotify.com/track/7ElC7VjUNl3oJ20Q5OpEh9
177,Yellow,Coldplay,31262,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
178,"What You Know Bout Love","Pop Smoke",31065,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
179,"Roses - Imanbek Remix","SAINt JHN",30935,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
180,"Take Me To Church",Hozier,30881,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
181,"Come & Go (with Marshmello)","Juice WRLD",30806,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
182,"lovely (with Khalid)","Billie Eilish",30773,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
183,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",30715,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
184,"Worst Day",Future,30688,https://open.spotify.com/track/70pwY1UfPmSVE3ybPjFy0p
185,"NEW MAGIC WAND","Tyler, The Creator",30635,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
186,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",30594,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
187,"One Dance",Drake,30543,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
188,Shallow,"Lady Gaga",30500,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
189,"Love Sosa","Chief Keef",30444,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
190,"Lil Bit (feat. Florida Georgia Line)",Nelly,30436,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN
191,Redbone,"Childish Gambino",30415,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
192,"Smells Like Teen Spirit - Remastered",Nirvana,30407,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
193,"Girls Want Girls (with Lil Baby)",Drake,30272,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
194,"Rocking A Cardigan in Atlanta","lil Shordie Scott",30208,https://open.spotify.com/track/0N0h5lXc4HOiLgGb9EZi8m
195,Believer,"Imagine Dragons",30188,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
196,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,30164,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
197,"Me or Sum (feat. Future & Lil Baby)","Nardo Wick",30097,https://open.spotify.com/track/2HHLfzE7PkljuqyYU4vwmh
198,"What A Time (feat. Niall Horan)","Julia Michaels",30091,https://open.spotify.com/track/5WtfUKzXircvW8l5aaVZWT
199,Hurricane,"Kanye West",30070,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
200,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",29922,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
